,Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),roundedV,dV,Charge_dQ,dQ/dV,G_Smoothed_dQ/dV
0,5,137.90577740942396,2011-01-03 10:40:13,17.89098460856288,2,1,0.5498448610305786,4.2000651359558105,0.002732001986872,0.0,4.2,0.08131980895996094,0.0,0.0,0.0
1,230,7781.427582783533,2011-01-03 12:47:38,30.017651684197535,2,2,0.5498448610305786,3.6094436645507812,0.070948267120228,0.890642398586565,3.609,0.20508146286010742,0.0,0.0,0.12388122455035064
2,231,7811.440528143122,2011-01-03 12:48:08,60.03059703877356,2,2,0.5496649146080017,3.6654927730560303,0.075531845941345,0.890642398586565,3.665,0.05604910850524902,0.004583578821116999,0.08177790768407574,0.1416991183498323
3,232,7841.455778031304,2011-01-03 12:48:38,90.04584692695641,2,2,0.5498448610305786,3.7017788887023926,0.080115741650438,0.890642398586565,3.702,0.036286115646362305,0.004583895709092997,0.12632643719065406,0.17701894910842644
4,233,7871.471051994489,2011-01-03 12:49:08,120.06112090016656,2,2,0.5500248074531555,3.7280213832855225,0.084699663334735,0.890642398586565,3.728,0.026242494583129883,0.004583921684296999,0.17467553131339106,0.22940682565195036
5,234,7901.486328143122,2011-01-03 12:49:38,150.07639704378605,2,2,0.5498448610305786,3.7484323978424072,0.089283665352351,0.890642398586565,3.748,0.020411014556884766,0.004584002017615996,0.22458472139346852,0.29840269588885504
6,235,7931.501589419687,2011-01-03 12:50:08,180.09165831533977,2,2,0.5496649146080017,3.7643074989318848,0.093867656287128,0.890642398586565,3.764,0.01587510108947754,0.004583990934777002,0.28875349573776254,0.3832575183856521
7,236,7961.516870791336,2011-01-03 12:50:38,210.1069396869891,2,2,0.5498448610305786,3.776456832885742,0.098451649725257,0.890642398586565,3.776,0.012149333953857422,0.004583993438129,0.377304093832533,0.4822694102390316
8,237,7991.532147335957,2011-01-03 12:51:08,240.122216231608,2,2,0.5496649146080017,3.7852044105529785,0.103035594978226,0.890642398586565,3.785,0.008747577667236328,0.004583945252968999,0.5240245274000787,0.5921193455931053
9,238,8021.547445504467,2011-01-03 12:51:38,270.13751443019527,2,2,0.5500248074531555,3.7918460369110107,0.107619570282803,0.890642398586565,3.792,0.0066416263580322266,0.0045839753045770065,0.6901886763071601,0.7076755301997255
10,239,8051.562705402599,2011-01-03 12:52:08,300.152774298251,2,2,0.5498448610305786,3.796867847442627,0.112203558145591,0.890642398586565,3.797,0.005021810531616211,0.004583987862788005,0.9128157731017985,0.822548958692841
11,240,8081.577982568766,2011-01-03 12:52:38,330.168051464419,2,2,0.5496649146080017,3.801241636276245,0.116787519689585,0.890642398586565,3.801,0.004373788833618164,0.004583961543994,1.0480527794941517,0.9302762931236626
12,241,8111.593254722443,2011-01-03 12:53:08,360.1833236281193,2,2,0.5496649146080017,3.8052914142608643,0.121371464031093,0.890642398586565,3.805,0.004049777984619141,0.004583944341507995,1.1319001582105468,1.0256462885760076
13,242,8141.60854586344,2011-01-03 12:53:38,390.1986147641044,2,2,0.5498448610305786,3.8093411922454834,0.125955409947191,0.890642398586565,3.809,0.004049777984619141,0.004583945916098009,1.1319005470195187,1.1056095509901909
14,243,8171.610175616054,2011-01-03 12:54:08,420.2002445467936,2,2,0.5496649146080017,3.8127429485321045,0.130537274242953,0.890642398586565,3.813,0.0034017562866210938,0.004581864295761989,1.3469113921482825,1.16950646619261
15,244,8201.61023034322,2011-01-03 12:54:38,450.20029925390975,2,2,0.5496649146080017,3.8164689540863037,0.135118848093176,0.890642398586565,3.816,0.0037260055541992188,0.0045815738502230086,1.2296207784928184,1.218604973085114
16,245,8231.623131763297,2011-01-03 12:55:08,480.21320066897493,2,2,0.5498448610305786,3.8200325965881348,0.13970240645443,0.890642398586565,3.82,0.0035636425018310547,0.0045835583612539865,1.2862003859531037,1.2552754122081127
17,246,8261.638434768865,2011-01-03 12:55:38,510.2285036745427,2,2,0.5498448610305786,3.823758602142334,0.144286346699284,0.890642398586565,3.824,0.0037260055541992188,0.004583940244854007,1.2302558807750281,1.2821704134084442
18,247,8291.653801117303,2011-01-03 12:56:08,540.2438700330054,2,2,0.5496649146080017,3.826998233795166,0.148870238570103,0.890642398586565,3.827,0.0032396316528320312,0.004583891870819007,1.4149423027188435,1.3017023334396913
19,248,8321.66900745695,2011-01-03 12:56:38,570.2590763726519,2,2,0.5496649146080017,3.830400228500366,0.153454138581329,0.890642398586565,3.83,0.0034019947052001953,0.004583900011225994,1.347415386690394,1.315933087000838
20,249,8351.684485338363,2011-01-03 12:57:08,600.2745542490514,2,2,0.5496649146080017,3.8339638710021973,0.158038087488958,0.890642398586565,3.834,0.0035636425018310547,0.004583948907629004,1.2863099778593672,1.3266719173674706
21,250,8381.69951118316,2011-01-03 12:57:38,630.2895801038743,2,2,0.5498448610305786,3.8373658657073975,0.162621953307178,0.890642398586565,3.837,0.0034019947052001953,0.004583865818219984,1.3474053358205447,1.335579398954319
22,251,8411.714931265518,2011-01-03 12:58:08,660.305000181221,2,2,0.5498448610305786,3.8407676219940186,0.167205880821776,0.890642398586565,3.841,0.0034017562866210938,0.0045839275145980185,1.3475179079190165,1.3441387593308818
23,252,8441.730081660735,2011-01-03 12:58:38,690.3201505814492,2,2,0.5500248074531555,3.8443315029144287,0.171789791006439,0.890642398586565,3.844,0.0035638809204101562,0.004583910184663004,1.2862130601533834,1.3535824843116062
24,253,8471.745700277905,2011-01-03 12:59:08,720.3357691936056,2,2,0.5496649146080017,3.84757137298584,0.176373825340044,0.890642398586565,3.848,0.003239870071411133,0.004584034333604992,1.414882150384631,1.364876090981896
25,254,8501.760633712387,2011-01-03 12:59:38,750.3507026080384,2,2,0.5498448610305786,3.850973129272461,0.180957729467868,0.890642398586565,3.851,0.0034017562866210938,0.004583904127824001,1.3475110330073394,1.3788378838259987
26,255,8531.776055599243,2011-01-03 13:00:08,780.366124514945,2,2,0.5496649146080017,3.854212999343872,0.185541687812622,0.890642398586565,3.854,0.003239870071411133,0.004583958344754002,1.41485869609501,1.396213176564347
27,256,8561.791420333657,2011-01-03 13:00:38,810.3814892293099,2,2,0.5494849681854248,3.857614755630493,0.190125635074209,0.890642398586565,3.858,0.0034017562866210938,0.004583947261586979,1.3475237128583764,1.4177406673134014
28,257,8591.806819218185,2011-01-03 13:01:08,840.3968881338875,2,2,0.5498448610305786,3.8610165119171143,0.194709616738475,0.890642398586565,3.861,0.0034017562866210938,0.004583981664266018,1.3475338260693592,1.4441153908029396
29,258,8621.821751960944,2011-01-03 13:01:38,870.4118208616089,2,2,0.5498448610305786,3.8639323711395264,0.199293593244803,0.890642398586565,3.864,0.0029158592224121094,0.004583976506327997,1.5720843006048686,1.475957890960984
30,259,8651.837154369254,2011-01-03 13:02:08,900.4272232849563,2,2,0.5496649146080017,3.8670103549957275,0.203877607932404,0.890642398586565,3.867,0.003077983856201172,0.004584014687601001,1.4892913354193362,1.5138121658273351
31,260,8681.852325360804,2011-01-03 13:02:38,930.4423942664795,2,2,0.5498448610305786,3.8700881004333496,0.208461519211725,0.890642398586565,3.87,0.0030777454376220703,0.004583911279321007,1.4893731051592856,1.5580117896024768
32,261,8711.86759607088,2011-01-03 13:03:08,960.457664966532,2,2,0.5498448610305786,3.8731658458709717,0.213045544768263,0.890642398586565,3.873,0.0030777454376220703,0.004584025556538002,1.4894102353311307,1.6084450553236156
33,262,8741.88289156272,2011-01-03 13:03:38,990.4729604583733,2,2,0.5498448610305786,3.875919818878174,0.217629537649221,0.890642398586565,3.876,0.0027539730072021484,0.004583992880957982,1.6645017467382555,1.6644291665931155
34,263,8771.898277429804,2011-01-03 13:04:08,1020.4883463404948,2,2,0.5498448610305786,3.878511667251587,0.222213580710666,0.890642398586565,3.879,0.002591848373413086,0.004584043061444998,1.768638593394444,1.7247414960348717
35,264,8801.915381494166,2011-01-03 13:04:38,1050.5054503998426,2,2,0.5494849681854248,3.88094162940979,0.226797857802849,0.890642398586565,3.881,0.002429962158203125,0.004584277092183009,1.8865631617789995,1.7879760597905232
36,265,8831.928723547437,2011-01-03 13:05:08,1080.518792468151,2,2,0.5498448610305786,3.883695363998413,0.231381562959703,0.890642398586565,3.884,0.002753734588623047,0.0045837051568539955,1.6645413743907653,1.8528530354824126
37,266,8861.944020452802,2011-01-03 13:05:38,1110.5340893685031,2,2,0.5498448610305786,3.885963201522827,0.235965540348692,0.890642398586565,3.886,0.0022678375244140625,0.004583977388988997,2.0212988539262096,1.9182759318860176
38,267,8891.959296230509,2011-01-03 13:06:08,1140.5493651361858,2,2,0.5500248074531555,3.8883931636810303,0.240549571490303,0.890642398586565,3.888,0.002429962158203125,0.004584031141611017,1.8864619459756333,1.9832941912961155
39,268,8921.976973774155,2011-01-03 13:06:38,1170.5670426748204,2,2,0.5496649146080017,3.8904991149902344,0.245133983772729,0.890642398586565,3.89,0.0021059513092041016,0.004584412282425981,2.1768842719153656,2.046935349439828
40,269,8951.98993774513,2011-01-03 13:07:08,1200.5800066708566,2,2,0.5498448610305786,3.8926048278808594,0.249717658478944,0.890642398586565,3.893,0.002105712890625,0.004583674706215013,2.176780474974689,2.1080700872215745
41,270,8982.005137122424,2011-01-03 13:07:38,1230.5952060230884,2,2,0.5498448610305786,3.8948729038238525,0.254301655617903,0.890642398586565,3.895,0.002268075942993164,0.004583997138959017,2.0210950841926167,2.165376448908029
42,271,9012.020544884075,2011-01-03 13:08:08,1260.6106137897527,2,2,0.5498448610305786,3.8969786167144775,0.258885735547507,0.890642398586565,3.897,0.002105712890625,0.004584079929603968,2.1769729149748236,2.2174014502979285
43,272,9042.038152458337,2011-01-03 13:08:38,1290.6282214642647,2,2,0.5498448610305786,3.8987605571746826,0.26347016428786,0.890642398586565,3.899,0.0017819404602050781,0.00458442874035303,2.5727171264888518,2.2628263762637895
44,273,9072.05096899185,2011-01-03 13:09:08,1320.6410378925168,2,2,0.5498448610305786,3.9008665084838867,0.268053820873744,0.890642398586565,3.901,0.0021059513092041016,0.0045836565858839995,2.176525433352157,2.300903079310887
45,274,9102.066248704366,2011-01-03 13:09:38,1350.6563176050313,2,2,0.5496649146080017,3.902648448944092,0.272637830508993,0.890642398586565,3.903,0.0017819404602050781,0.0045840096352489645,2.5724819305811177,2.3316784112405187
46,275,9132.0815492087,2011-01-03 13:10:08,1380.6716181043523,2,2,0.5498448610305786,3.904754400253296,0.277221864043047,0.890642398586565,3.905,0.0021059513092041016,0.004584033534054011,2.1767044252255037,2.355933192412011
47,276,9162.096833833459,2011-01-03 13:10:38,1410.686902754172,2,2,0.5500248074531555,3.906860113143921,0.281805832677872,0.890642398586565,3.907,0.002105712890625,0.00458396863482502,2.176920061245598,2.3747806886620033
48,277,9192.11209439825,2011-01-03 13:11:08,1440.7021632939018,2,2,0.5498448610305786,3.908480167388916,0.286389877150728,0.890642398586565,3.908,0.0016200542449951172,0.004584044472855986,2.829562335346248,2.3894682586734493
49,278,9222.12737350425,2011-01-03 13:11:38,1470.7174424049167,2,2,0.5498448610305786,3.910423994064331,0.290973850598884,0.890642398586565,3.91,0.001943826675415039,0.004583973448155976,2.3582212890340246,2.401397234288229
50,279,9252.142649893483,2011-01-03 13:12:08,1500.732718789136,2,2,0.5498448610305786,3.912529945373535,0.295557884805094,0.890642398586565,3.913,0.0021059513092041016,0.004584034206210008,2.1767047443952747,2.412330545665165
51,280,9282.157912603623,2011-01-03 13:12:39,1530.7479815243375,2,2,0.5498448610305786,3.9143118858337402,0.300141900984459,0.890642398586565,3.914,0.0017819404602050781,0.004584016179364991,2.5724856030472707,2.4241047440892634
52,281,9312.173215117968,2011-01-03 13:13:09,1560.7632840136184,2,2,0.5498448610305786,3.9162557125091553,0.304725863104054,0.890642398586565,3.916,0.001943826675415039,0.0045839621195949976,2.358215461065347,2.438086288529658
53,282,9342.188467477308,2011-01-03 13:13:39,1590.7785363729604,2,2,0.5498448610305786,3.9181995391845703,0.309309865385173,0.890642398586565,3.918,0.001943826675415039,0.004584002281119048,2.358236122127652,2.454550082277406
54,283,9372.203735104702,2011-01-03 13:14:09,1620.793804025417,2,2,0.5498448610305786,3.9199814796447754,0.313893915593617,0.890642398586565,3.92,0.0017819404602050781,0.0045840502084439905,2.5725046996892513,2.472550192916767
55,284,9402.220950331113,2011-01-03 13:14:39,1650.8110192518277,2,2,0.5500248074531555,3.9219253063201904,0.318478436743178,0.890642398586565,3.922,0.001943826675415039,0.004584521149560983,2.3585030535616616,2.4905486551579656
56,285,9432.234294078607,2011-01-03 13:15:09,1680.8243629993217,2,2,0.5498448610305786,3.9235453605651855,0.323062359886634,0.890642398586565,3.924,0.0016200542449951172,0.004583923143456015,2.82948744316264,2.507328591770287
57,286,9462.249571049288,2011-01-03 13:15:39,1710.8396399700025,2,2,0.5498448610305786,3.9254891872406006,0.327646609678378,0.890642398586565,3.925,0.001943826675415039,0.004584249791743988,2.358363453760699,2.5226399514947087
58,287,9492.264837092735,2011-01-03 13:16:09,1740.854906013449,2,2,0.5498448610305786,3.9272711277008057,0.332230845995756,0.890642398586565,3.927,0.0017819404602050781,0.0045842363173779765,2.572609141413395,2.537096372882947
